epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1030.38,0.94402,1.86185,1.09031,1.01232,0.67592,0.57849,0.61439,0.3959,0.5883,0.52526,0.53626,0.35188,1.86722,3.46121,2.41824,1.77013,0.000928435,0.000928435,0.000928435
85,1043.12,0.91894,1.78385,1.06473,0.98776,0.59703,0.53688,0.58017,0.36745,0.54305,0.50616,0.52016,0.32463,1.85043,3.33743,2.52656,1.75719,0.000926235,0.000926235,0.000926235
86,1054.08,0.93886,1.78593,1.05361,0.98143,0.58658,0.49309,0.54708,0.33618,0.61392,0.44751,0.49016,0.30649,1.90165,3.6432,2.63488,1.82796,0.000924036,0.000924036,0.000924036
87,1065.04,0.95928,1.76035,1.06187,1.00667,0.67818,0.56108,0.58748,0.37561,0.56741,0.49359,0.49039,0.31167,1.87066,3.4789,2.46044,1.79346,0.000921836,0.000921836,0.000921836
88,1075.84,0.92703,1.75479,1.02495,0.9874,0.72069,0.52994,0.5838,0.3583,0.65022,0.48858,0.5231,0.3135,1.88585,3.52799,2.58264,1.77695,0.000919637,0.000919637,0.000919637
89,1086.46,0.93736,1.7991,1.04592,1.0002,0.67108,0.52866,0.58744,0.34478,0.58926,0.4682,0.46928,0.28864,1.85722,3.52615,2.46902,1.81871,0.000917437,0.000917437,0.000917437
90,1097.15,0.93119,1.74499,1.02411,0.98186,0.67019,0.55431,0.59537,0.36898,0.59548,0.48092,0.49407,0.31121,1.83644,3.69389,2.57428,1.73643,0.000915237,0.000915237,0.000915237
91,1108.51,0.92527,1.71674,0.99421,0.98073,0.65051,0.58411,0.58189,0.3794,0.55337,0.50967,0.49415,0.31681,1.88138,3.61477,2.67975,1.73615,0.000913038,0.000913038,0.000913038
92,1121.14,0.89905,1.72248,0.98233,0.98783,0.61723,0.54103,0.58162,0.36171,0.59739,0.48325,0.51562,0.32504,1.84123,3.44358,2.42856,1.73786,0.000910838,0.000910838,0.000910838
93,1136.14,0.92469,1.75967,1.00376,0.98878,0.61333,0.51768,0.54112,0.35744,0.55728,0.47916,0.47814,0.31777,1.82063,3.38614,2.49796,1.70623,0.000908639,0.000908639,0.000908639
94,1147.85,0.91087,1.75418,1.00559,0.98334,0.64238,0.56165,0.59918,0.38905,0.56836,0.49057,0.51113,0.32731,1.86335,3.61518,2.52857,1.78601,0.000906439,0.000906439,0.000906439
95,1158.6,0.94318,1.74659,1.00025,1.00368,0.64215,0.55978,0.59854,0.39653,0.57902,0.52008,0.51706,0.34013,1.80857,3.62474,2.6328,1.71038,0.000904239,0.000904239,0.000904239
96,1171.56,0.90284,1.67569,0.98971,0.99001,0.63033,0.57917,0.59324,0.38827,0.57533,0.51644,0.52593,0.33574,1.897,3.53175,2.55841,1.86449,0.00090204,0.00090204,0.00090204
97,1184.56,0.92505,1.72279,0.99772,0.98373,0.58983,0.55712,0.57064,0.35436,0.6815,0.44365,0.50408,0.30255,1.89971,3.76024,2.65702,1.81929,0.00089984,0.00089984,0.00089984
98,1197.54,0.95678,1.79836,1.01714,0.98486,0.65588,0.49837,0.54979,0.36946,0.53214,0.55306,0.49724,0.32144,1.83328,3.54844,2.57408,1.76249,0.000897641,0.000897641,0.000897641
99,1210.97,0.90682,1.68182,1.01725,0.97929,0.77786,0.50812,0.58135,0.3769,0.73368,0.47771,0.51933,0.32822,1.88851,3.40916,2.61013,1.8548,0.000895441,0.000895441,0.000895441
100,1224.71,0.92377,1.72715,1.0039,0.97982,0.59029,0.59256,0.58228,0.37047,0.55396,0.55956,0.5361,0.34451,1.86942,3.32459,2.41348,1.81911,0.000893242,0.000893242,0.000893242
101,1238.62,0.88725,1.69525,0.95766,0.96997,0.70124,0.56011,0.62001,0.40864,0.55098,0.60931,0.56995,0.3648,1.83752,3.53548,2.36781,1.77779,0.000891042,0.000891042,0.000891042
102,1250.93,0.85401,1.62298,0.92598,0.94826,0.63333,0.54093,0.56842,0.37895,0.56818,0.49097,0.49816,0.33017,1.86257,3.83504,2.52643,1.77777,0.000888842,0.000888842,0.000888842
103,1263.18,0.89353,1.68628,0.95634,0.95863,0.69467,0.47066,0.54838,0.33896,0.54491,0.47398,0.47616,0.29489,1.97147,3.80565,2.81657,1.85048,0.000886643,0.000886643,0.000886643
104,1273.83,0.92703,1.72886,1.02177,0.98106,0.70442,0.52292,0.59565,0.38757,0.59458,0.47967,0.4956,0.33383,1.91723,3.5497,2.76031,1.74435,0.000884443,0.000884443,0.000884443
105,1285.38,0.90571,1.70587,0.98745,0.97266,0.63022,0.55951,0.5844,0.39237,0.5467,0.48358,0.49352,0.33712,1.88138,3.61531,2.53018,1.75824,0.000882244,0.000882244,0.000882244
106,1297.08,0.89425,1.67264,0.95682,0.97614,0.636,0.5123,0.52751,0.3632,0.58231,0.4642,0.46216,0.31362,1.90885,3.88954,2.6004,1.81269,0.000880044,0.000880044,0.000880044
